"subject","predicate","object"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","アントニー・フォッカー（Anton Herman Gerard 'Anthony' Fokker, 1890年4月6日 - 1939年12月23日）は、フォッカー社の設立者。オランダ領東インド（現在のインドネシア）のクディリ (Kediri) 生まれ。 20歳でフォッカー社設立、第1次大戦時のドイツの有名な戦闘機を製造した。1919年にオランダに移ってからは民間機で有名になった。後にアメリカに移住、アメリカ市民権を得た。アメリカでは、オランダのフォッカー社の支社として、1923年にアトランティック・エアクラフト・コーポレーション・オブ・アメリカ(Atlantic Aircraft Corporation)を設立。この会社は1930年にゼネラルモーターズ傘下となり同じ傘下のノースアメリカンと1933年に合併した。アントニー・フォッカーは、1939年にニューヨーク市で亡くなった。"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/abstract","Anthony Herman Gerard Fokker, född 6 april 1890 i Blitar på Java, död 23 december 1939 i New York, var en holländsk ingenjör."
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Dutch_aviators"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Dutch_people_of_World_War_I"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:People_from_Blitar"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Early_Birds_of_Aviation"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Dutch_businesspeople"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Aviation_pioneers"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Businesspeople_in_aviation"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Dutch_aerospace_engineers"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:American_people_of_Dutch_descent"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:1890_births"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2004/02/skos/core#subject","http://dbpedia.org/resource/Category:1939_deaths"
"http://dbpedia.org/resource/Anthony_Fokker","http://xmlns.com/foaf/0.1/depiction","http://upload.wikimedia.org/wikipedia/commons/b/b0/Anthony_Fokker_1912.jpg"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/ontology/thumbnail","http://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Anthony_Fokker_1912.jpg/200px-Anthony_Fokker_1912.jpg"
"http://dbpedia.org/resource/Anthony_Fokker","http://www.w3.org/2000/01/rdf-schema#label","Anthony Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/hasPhotoCollection","http://www4.wiwiss.fu-berlin.de/flickrwrappr/photos/Anthony_Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/spouse","Sophie Marie Elisabeth von Morgen (1919-1923), Violet Austman (1927-1939)"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/reference","http://books.google.com/books?id=ZigDAAAAMBAJ&pg=PA29&dq=Popular+Science+1931+plane&hl=en&ei=Y8gFTayNLpD-nAfwyJDlDQ&sa=X&oi=book_result&ct=result&resnum=2&ved=0CCsQ6AEwAQ#v=onepage&q=Popular%20Science%201931%20plane&f=true"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/reference","http://books.google.com/books?id=9CcDAAAAMBAJ&pg=PA24&dq=Popular+Science+1931+plane&hl=en&ei=us8FTe-8L4HAnAf-46nlDQ&sa=X&oi=book_result&ct=result&resnum=5&ved=0CDcQ6AEwBA#v=onepage&q=Popular%20Science%201931%20plane&f=true"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:infobox_person"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Reflist"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:S-bef"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:S-aft"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Cquote2"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Infobox_person"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:cquote2"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:Persondata"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:s-ttl"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:S-ttl"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/wikiPageUsesTemplate","http://dbpedia.org/resource/Template:persondata"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/name","Anthony Fokker"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/name","Fokker, Anthony"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/nationality","Dutch, American"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/personquoted","Max Immelman, 1915"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/caption","Anthony Fokker in 1912"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/dateOfDeath",1939-12-23
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/dateOfBirth",1890-04-06
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/title","http://dbpedia.org/resource/List_Of_People_On_The_Cover_Of_Time_Magazine:_1920s"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/deathDate","http://dbpedia.org/resource/Anthony_Fokker/deathDate/death-date_and_age"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/birthDate","http://dbpedia.org/resource/Anthony_Fokker/birthDate/birth-date"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Netherlands_Indies"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/Blitar"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/birthPlace","http://dbpedia.org/resource/East_Java"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/years",1923-12-31
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/occupation","http://dbpedia.org/resource/Aircraft_Manufacturer"
"http://dbpedia.org/resource/Anthony_Fokker","http://dbpedia.org/property/deathPlace","http://dbpedia.org/resource/USA"
